"filename", "language", "XML", "C#", "TypeScript", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\Aggregates\TransactionWriteDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\Aggregates\UserWriteDto.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\Entities\ConversationWriteDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\Entities\FileWriteDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\CurrencyWriteDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\DatingPreferencesWriteDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\DistanceWriteDto.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\FileDetailsWriteDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\LocationWriteDto.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Write\ValueObjects\MoneyWriteDto.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Embe.C2C.Application.csproj", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\EventHandlers\DomainEventHandler.cs", "C#", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 22, 230
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\EventHandlers\IntegrationEventHandler.cs", "C#", 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 15, 80
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\IntegrationEvent.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\IntegrationEventCollector.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Messages\MessageCreated.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Messages\MessageDeleted.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Messages\MessageEdited.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Messages\MessageSeen.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Messages\MessageUnseen.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Events\Notifications\NotificationCreatedEvent.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
